field_id,farm_id,field_name,field_acres,field_coordinates,soil_type,soil_ph,drainage_rating,slope_percentage,irrigation_type,last_soil_test_date,organic_matter_percentage,field_elevation_feet,created_timestamp,updated_timestamp
41d5065f-6cfc-4d2d-bec5-ffb83dc6d4ec,65bf66bf-33e2-4e15-a8e8-2364a2c26712,Jolynn Leffler,998,Coastal,loamy,6.5,moderate,581,sprinkler,2008-09-13,2422,6040,2022-01-28 03:09:23-03:00,2000-01-27 16:18:56+12:00
680dacaf-2612-4b98-bd92-319cfe40ab71,201c3d4c-c94d-4b0b-ad0c-6fb4bf890ac3,Sid Ondricka Sr.,136,Coastal,sandy,4.5,moderate,167,sprinkler,1997-05-19,6979,5898,2029-05-25 19:23:51+01:00,2029-03-09 04:05:35-09:00
ac5e9cb1-e121-4ce2-aaa3-e30e3e7d0f50,87ca466c-f760-4af2-816c-515f82b00803,Mrs. Felipa Goldner,463,Suburban,silty,6.5,excellent,995,sprinkler,2012-01-22,454,25226,2019-07-02 09:57:58+10:00,2027-06-06 06:07:28-11:00
c58a9354-9376-47d3-ac95-fb79086b9f0d,fcf0a8d2-8fae-46e7-88cc-b1eb37935ad2,Nydia Kessler,844,Rural,loamy,6.5,poor,5938,drip,2022-03-02,457,8632,2030-03-22 02:15:19-03:00,2001-07-16 11:20:11+07:00
7d071b15-cee4-4faf-8484-0218600aa844,55fe5ca6-bf5f-4687-98cf-a38d4361dae0,Gennie Boehm,889,Rural,peaty,3.5,excellent,8605,manual,1998-08-19,924,12985,2012-07-27 22:04:53+11:00,2021-12-26 13:45:08-10:00
87b69031-6963-4218-88c5-3eb49f09ed5b,7fe22955-2ba0-4335-9e80-98c6d4c85503,Earnest Fritsch,643,Mountainous,sandy,8.5,excellent,2351,sprinkler,2011-07-14,6706,25748,2021-03-26 03:19:00+03:00,2028-07-31 15:26:48-07:00
0290cf17-da22-48a8-81ab-82f3b22fa1cb,8d12c0b6-6768-42e7-8ee3-b93e864e98d8,Mr. Grisel Yundt,214,Suburban,silty,8.5,excellent,9440,surface,2005-01-24,5128,27272,2018-03-15 04:38:37+11:00,2022-10-24 16:01:42+09:00
d92ee5ac-9bc7-420e-9e29-dcfdde09c147,65ca17b6-15b3-42c3-a0c0-e06f464bac8f,Samual Huels,44,Suburban,sandy,8.5,poor,7019,sprinkler,1997-07-06,8935,18194,2005-12-09 21:54:07Z,2015-11-18 17:36:57+06:00
a0bd27d7-afde-49a1-b938-d690d599f9fe,5478753c-3868-47ea-9e09-abecb2f9eb43,King Bayer,782,Suburban,chalky,4.5,poor,6170,manual,2021-11-08,8991,22185,2029-10-29 15:06:25+11:00,2001-11-09 10:57:35-03:00
c9c3d433-00e2-4881-a6d3-66f5d7fc5889,70e8cb4e-4b0c-4444-9a87-798a2a03cd16,Mr. Brandon Shields,738,Urban,loamy,8.5,excellent,3888,sprinkler,2021-03-30,3384,30102,2025-07-10 13:39:02-01:00,2022-06-18 21:53:38+12:00
f2323af6-84da-4fdb-83a8-a142718e75ce,4c163f04-9d0b-415d-a781-c65df77b2707,Yen Ryan,819,Rural,clay,7.5,poor,2251,manual,2000-01-21,4287,27014,2004-04-02 22:53:03-01:00,2030-09-27 09:04:14+09:00
4de904e4-bd97-4fd7-9fb3-60b6514e320e,1577a92d-3452-409a-aabe-3205d0648d5a,Israel Leannon,592,Urban,silty,4.5,excellent,5881,surface,2001-10-04,4777,31709,2003-04-10 06:22:39+03:00,2021-10-11 02:49:05+05:00
6df66467-3786-4763-9786-2b3ce1666497,7cbdbd62-2981-4a01-8b02-0066109e4f94,Ms. Tandra Schuster,920,Urban,loamy,7.5,moderate,5352,subsurface,2008-07-18,1182,2518,2020-03-27 20:20:13-09:00,2006-11-13 18:24:34+08:00
af0ceef6-a701-4477-b7ec-f79f3d1e34a8,b36cf476-23ea-45e7-b48d-bf9de4aa1fc0,Mrs. Sanford Hyatt,469,Suburban,peaty,9.5,poor,6415,subsurface,2000-12-26,3261,24696,2003-08-10 17:03:37+11:00,2018-09-29 04:26:59+01:00
5f762a8a-d49f-4313-9cac-32e70a089295,4024fb7a-8ff2-4e13-94b2-f154eda553c4,Clair Romaguera MD,425,Mountainous,loamy,9.5,poor,4432,sprinkler,2013-09-09,3940,24292,2028-05-12 23:38:01+08:00,2009-07-20 04:10:00-03:00
a30e8b6a-9054-4ba3-bfb2-6861bd52fb29,48a54888-e79e-448a-8079-92785a268980,Jacques Keebler,491,Mountainous,peaty,9.5,excellent,5059,manual,2021-10-15,4532,15955,2028-04-20 03:56:24-10:00,2003-10-07 20:32:40+13:00
f5f83c46-691b-4035-8723-2b2e7a3c8cdb,e8456e30-389b-4653-9e3d-cf29920ad9ec,Gale Gerlach,188,Mountainous,sandy,6.5,moderate,5036,subsurface,2006-03-29,9381,28946,2000-06-02 22:41:42+07:00,2013-04-12 03:56:37+06:00
6322306d-da22-40d8-bd21-a4e944d60571,86a12cf2-9074-4a93-b5c6-576626263c80,Terri Morissette DVM,23,Suburban,loamy,4.5,excellent,9098,manual,2014-05-29,8603,6328,2012-05-01 21:44:14-08:00,2028-11-25 05:35:06-10:00
5587912e-9149-41d4-b9e0-4fc28f4a5bbb,43d50e20-1205-40c1-a36b-2c6ea9d185e1,Meta Prohaska,905,Suburban,loamy,3.5,excellent,8398,manual,2012-05-01,5007,27660,2020-01-14 19:10:56+10:00,2006-05-19 08:21:33-02:00
21d9d4be-8a94-4ce1-b1fe-9fa101c6cb7c,68a40ffb-695a-4ab8-a53b-8dff5d63cb53,Joslyn Bauch,156,Rural,chalky,7.5,poor,1041,drip,1998-08-19,7378,8791,2008-07-14 04:02:10-03:00,2013-11-10 10:13:19-10:00
1e8ae31e-1e76-4df8-ba9f-b0c535e8785b,0ce56d08-a2df-4311-a79b-aa892227d1d6,Tommie Cremin,560,Urban,silty,6.5,poor,8404,subsurface,1997-04-14,1062,28141,2016-11-24 04:30:12Z,2020-07-27 06:40:32+04:00
e253eb64-da03-4c3a-bf1a-df80ac996d30,3d88c475-f4c3-49d8-a50f-3f5fab943ffd,Giuseppe Block,672,Suburban,clay,8.5,poor,2691,drip,2008-05-17,4928,2688,2011-01-20 20:32:30-12:00,2023-03-14 22:21:56-07:00
621391ee-ed77-413f-898d-138575a2ef36,a8513779-71f3-4d3c-8876-a65506842fd1,Jenniffer Hilpert,229,Coastal,sandy,7.5,poor,4470,sprinkler,2025-06-13,6797,6474,2027-06-29 10:56:14+13:00,2015-12-13 03:45:22-11:00
5ed533d5-7987-4398-b8c1-32e1ac623163,b0e2ce9e-8aec-48fb-98c2-9dd64bd172ed,Waltraud Breitenberg,910,Coastal,peaty,9.5,excellent,4035,sprinkler,2015-06-27,8793,2295,2025-05-25 13:32:59-03:00,2001-11-20 09:04:06-02:00
bad488a4-2b50-40d0-971a-3b138689c1df,2e27a721-d4c5-48f8-b45b-6994302504c9,Monte Schuster,617,Urban,clay,8.5,poor,2979,surface,2007-12-18,4935,7097,2013-12-15 12:06:36+01:00,2017-07-27 17:16:09-10:00
0d219703-0cc8-4cfd-a181-e1cd0424a4c2,38f7fb9b-b1a4-48f0-a0b8-d221f4de49a8,Alphonse Orn,861,Suburban,sandy,3.5,moderate,7891,sprinkler,2024-01-10,3885,5888,2019-09-07 18:22:08+01:00,2004-06-30 03:03:48-09:00
